datetime,dust,mq135,mq131,mq4,temperature,pressure,altitude
Wed Sep 27 15:34:58 2023,851,0,0,0,28.1,96080,445.7
Wed Sep 27 15:34:58 2023,1047,0,0,0,28.1,96085,445.96
Wed Sep 27 15:34:58 2023,938,0,0,0,28.1,96085,446.22
Wed Sep 27 15:34:58 2023,974,0,0,0,28.1,96082,445.87
Wed Sep 27 15:34:59 2023,0,0,0,0,28.1,96090,445.52
Wed Sep 27 15:34:59 2023,0,0,0,0,28.0,96084,445.26
Wed Sep 27 15:34:59 2023,907,0,0,0,28.1,96080,446.22
Wed Sep 27 15:34:59 2023,1168,0,0,0,28.1,96084,446.04
Wed Sep 27 15:34:59 2023,1004,0,0,0,28.1,96080,446.22
Wed Sep 27 15:34:59 2023,987,0,0,0,28.1,96078,445.87
Wed Sep 27 15:35:01 2023,0,0,0,0,28.1,96080,446.13
Wed Sep 27 15:35:01 2023,0,0,0,0,28.1,96083,446.22
Wed Sep 27 15:35:01 2023,1105,0,0,0,28.1,96078,446.65
Wed Sep 27 15:35:01 2023,945,0,0,0,28.1,96079,445.7
Wed Sep 27 15:35:01 2023,1029,0,0,0,28.1,96079,446.22
Wed Sep 27 15:35:01 2023,1046,0,0,0,28.1,96082,445.78
Wed Sep 27 15:35:02 2023,0,0,0,0,28.1,96078,445.96
Wed Sep 27 15:35:02 2023,0,0,0,0,28.1,96079,445.96
Wed Sep 27 15:35:02 2023,1131,0,0,0,28.1,96073,445.7
Wed Sep 27 15:35:02 2023,1103,0,0,0,28.1,96084,446.04
Wed Sep 27 15:35:02 2023,1080,0,0,0,28.1,96074,445.52
Wed Sep 27 15:35:02 2023,1020,0,0,0,28.1,96078,445.61
Wed Sep 27 15:35:03 2023,0,0,0,0,28.1,96070,446.74
Wed Sep 27 15:35:03 2023,0,0,0,0,28.1,96076,445.61
Wed Sep 27 15:35:03 2023,1029,0,0,0,28.1,96084,445.87
Wed Sep 27 15:35:03 2023,916,0,0,0,28.1,96080,446.3
Wed Sep 27 15:35:03 2023,1001,0,0,0,28.1,96082,445.17
Wed Sep 27 15:35:03 2023,1084,0,0,0,28.1,96085,445.52
Wed Sep 27 15:35:04 2023,0,0,0,2,28.1,96077,446.22
Wed Sep 27 15:35:04 2023,0,0,0,2,28.1,96082,446.3
Wed Sep 27 15:35:04 2023,999,0,0,6,28.1,96081,445.61
Wed Sep 27 15:35:04 2023,1040,0,0,4,28.1,96076,445.17
Wed Sep 27 15:35:04 2023,1017,0,0,16,28.1,96082,445.26
Wed Sep 27 15:35:04 2023,1113,0,0,18,28.1,96078,445.87
Wed Sep 27 15:35:05 2023,0,0,0,34,28.1,96078,446.04
Wed Sep 27 15:35:05 2023,0,0,0,38,28.1,96085,446.3
Wed Sep 27 15:35:05 2023,1059,0,0,46,28.1,96082,445.26
Wed Sep 27 15:35:05 2023,1003,0,0,45,28.1,96084,446.04
Wed Sep 27 15:35:05 2023,1162,0,0,48,28.1,96080,445.87
Wed Sep 27 15:35:05 2023,1056,0,0,58,28.1,96076,446.13
Wed Sep 27 15:35:05 2023,1089,0,0,57,28.1,96081,446.04
Wed Sep 27 15:35:06 2023,0,0,0,83,28.1,96078,446.39
Wed Sep 27 15:35:06 2023,0,0,0,89,28.1,96078,445.7
Wed Sep 27 15:35:06 2023,967,0,0,95,28.1,96076,446.22
Wed Sep 27 15:35:06 2023,1153,0,0,113,28.1,96076,446.48
