datetime, dust, mq135, mq131, mq4, temperature, pressure, altitude
Wed Sep 27 11:58:33 2023,2135,0,0,0,25.0,96510,408.65
Wed Sep 27 11:58:33 2023,2077,0,0,0,25.0,96512,408.3
Wed Sep 27 11:58:33 2023,2064,0,0,0,25.0,96514,408.13
Wed Sep 27 11:58:34 2023,2167,0,0,0,25.0,96515,408.48
Wed Sep 27 11:58:34 2023,2064,0,0,0,25.0,96511,408.74
Wed Sep 27 11:58:34 2023,2144,0,0,0,25.0,96515,408.3
Wed Sep 27 11:58:34 2023,2064,0,0,0,25.0,96512,408.56
Wed Sep 27 11:58:34 2023,2133,0,0,0,25.0,96514,408.74
Wed Sep 27 11:58:34 2023,2070,0,0,0,25.0,96516,408.48
Wed Sep 27 11:58:35 2023,2131,0,0,0,25.0,96516,408.22
Wed Sep 27 11:58:35 2023,2063,0,0,0,25.0,96517,408.65
Wed Sep 27 11:58:35 2023,2169,0,0,0,25.0,96513,408.56
Wed Sep 27 11:58:35 2023,2054,0,0,0,25.0,96512,408.56
Wed Sep 27 11:58:35 2023,2150,0,0,0,25.0,96513,408.74
Wed Sep 27 11:58:35 2023,2064,0,0,0,25.0,96518,408.48
Wed Sep 27 11:58:36 2023,2068,0,0,0,25.0,96513,408.65
Wed Sep 27 11:58:36 2023,2093,0,0,0,25.0,96512,408.56
Wed Sep 27 11:58:36 2023,2146,0,0,0,25.0,96518,408.74
Wed Sep 27 11:58:36 2023,2068,0,0,0,25.0,96509,407.87
Wed Sep 27 11:58:36 2023,2175,0,0,0,25.0,96513,408.65
Wed Sep 27 11:58:36 2023,2060,0,0,0,25.0,96512,408.48
Wed Sep 27 11:58:37 2023,2139,0,0,0,25.0,96510,408.74
Wed Sep 27 11:58:37 2023,2073,0,0,0,25.0,96509,408.65
Wed Sep 27 11:58:37 2023,2093,0,0,0,25.0,96518,408.65
Wed Sep 27 11:58:37 2023,2141,0,0,0,25.0,96512,408.48
Wed Sep 27 11:58:37 2023,2066,0,0,12,25.0,96508,409.26
Wed Sep 27 11:58:38 2023,2158,0,0,0,25.0,96513,408.13
Wed Sep 27 11:58:38 2023,2154,0,0,0,25.0,96516,408.82
Wed Sep 27 11:58:38 2023,2064,0,0,0,25.0,96509,408.04
Wed Sep 27 11:58:38 2023,2144,0,0,0,25.0,96509,409.0
Wed Sep 27 11:58:38 2023,2081,0,0,0,25.0,96506,408.91
Wed Sep 27 11:58:39 2023,2062,0,0,0,25.0,96514,408.04
Wed Sep 27 11:58:39 2023,2165,0,0,0,25.0,96519,408.48
Wed Sep 27 11:58:39 2023,2059,0,0,0,25.0,96514,408.39
Wed Sep 27 11:58:39 2023,2146,0,0,0,25.0,96511,408.82
Wed Sep 27 11:58:39 2023,2069,0,0,0,25.0,96509,408.91
Wed Sep 27 11:58:39 2023,2125,0,0,0,25.0,96514,408.65
Wed Sep 27 11:58:41 2023,2070,0,0,0,25.0,96510,408.91
Wed Sep 27 11:58:41 2023,2160,0,0,0,25.0,96514,408.48
Wed Sep 27 11:58:41 2023,2057,0,0,0,25.0,96513,407.87
Wed Sep 27 11:58:41 2023,2160,0,0,0,25.0,96515,408.04
Wed Sep 27 11:58:41 2023,2062,0,0,0,25.0,96515,408.65
Wed Sep 27 11:58:41 2023,2145,0,0,0,25.0,96513,408.3
Wed Sep 27 11:58:42 2023,2107,0,0,0,25.0,96512,408.65
Wed Sep 27 11:58:42 2023,2125,0,0,0,25.0,96507,408.82
Wed Sep 27 11:58:42 2023,2064,0,0,0,25.0,96507,408.48
Wed Sep 27 11:58:42 2023,2168,0,0,0,25.0,96517,408.13
Wed Sep 27 11:58:42 2023,2062,0,0,0,25.0,96512,408.39
Wed Sep 27 11:58:42 2023,2150,0,0,0,25.0,96519,408.39
Wed Sep 27 11:58:43 2023,2140,0,0,0,25.0,96515,407.87
Wed Sep 27 11:58:43 2023,2082,0,0,0,25.0,96515,408.65
Wed Sep 27 11:58:43 2023,2079,0,0,0,25.0,96514,408.48
Wed Sep 27 11:58:43 2023,2144,0,0,0,25.0,96518,408.48
Wed Sep 27 11:58:43 2023,2065,0,0,0,25.0,96519,408.39
Wed Sep 27 11:58:43 2023,2159,0,0,0,25.0,96516,408.65
Wed Sep 27 11:58:44 2023,2069,0,0,0,25.0,96518,408.04
Wed Sep 27 11:58:44 2023,2123,0,0,0,25.0,96517,407.78
Wed Sep 27 11:58:44 2023,2101,0,0,0,25.0,96516,408.48
Wed Sep 27 11:58:44 2023,2075,0,0,0,25.0,96510,408.13
Wed Sep 27 11:58:44 2023,2157,0,0,0,25.0,96511,408.48
Wed Sep 27 11:58:45 2023,2061,0,0,0,25.0,96508,409.08
Wed Sep 27 11:58:45 2023,2132,0,0,0,25.0,96511,408.65
Wed Sep 27 11:58:45 2023,2047,0,0,0,25.0,96513,408.74
Wed Sep 27 11:58:45 2023,2110,0,0,0,25.0,96516,408.39
Wed Sep 27 11:58:45 2023,2128,0,0,0,25.0,96509,408.74
Wed Sep 27 11:58:46 2023,2064,0,0,0,25.0,96514,408.13
Wed Sep 27 11:58:46 2023,2155,0,0,0,25.0,96512,408.65
Wed Sep 27 11:58:46 2023,2067,0,0,0,25.0,96514,408.82
Wed Sep 27 11:58:46 2023,2129,0,0,0,25.0,96514,408.39
Wed Sep 27 11:58:46 2023,2067,0,0,0,25.0,96518,408.56
Wed Sep 27 11:58:47 2023,2063,0,0,0,25.0,96507,408.91
Wed Sep 27 11:58:47 2023,2163,0,0,0,25.0,96510,408.74
Wed Sep 27 11:58:47 2023,2058,0,0,0,25.0,96508,408.39
Wed Sep 27 11:58:47 2023,2144,0,0,0,25.0,96512,408.65
Wed Sep 27 11:58:47 2023,2069,0,0,0,25.0,96511,408.65
Wed Sep 27 11:58:47 2023,2134,0,0,0,25.0,96513,408.74
Wed Sep 27 11:58:47 2023,2074,0,0,0,25.0,96512,408.74
Wed Sep 27 11:58:48 2023,2065,0,0,0,25.0,96513,408.56
Wed Sep 27 11:58:48 2023,2162,0,0,0,25.0,96516,408.13
Wed Sep 27 11:58:48 2023,2063,0,0,0,25.0,96519,408.39
Wed Sep 27 11:58:48 2023,2147,0,0,0,25.0,96516,408.3
Wed Sep 27 11:58:49 2023,2095,0,0,0,25.0,96515,407.78
Wed Sep 27 11:58:49 2023,2079,0,0,0,25.0,96514,408.91
Wed Sep 27 11:58:49 2023,2139,0,0,0,25.0,96514,408.48
Wed Sep 27 11:58:49 2023,2062,0,0,0,25.0,96516,408.3
Wed Sep 27 11:58:49 2023,2170,0,0,0,25.0,96509,408.74
Wed Sep 27 11:58:49 2023,2062,0,0,0,25.0,96510,408.82
Wed Sep 27 11:58:50 2023,2069,0,0,0,25.0,96512,408.82
Wed Sep 27 11:58:50 2023,2123,0,0,0,25.0,96509,408.65
Wed Sep 27 11:58:50 2023,2073,0,0,0,25.0,96511,408.74
Wed Sep 27 11:58:50 2023,2077,0,0,0,25.0,96512,408.74
Wed Sep 27 11:58:50 2023,2142,0,0,0,25.0,96515,408.65
Wed Sep 27 11:58:50 2023,2058,0,0,0,25.0,96512,408.3
Wed Sep 27 11:58:51 2023,2059,0,0,0,25.0,96512,408.56
Wed Sep 27 11:58:51 2023,2148,0,0,0,25.0,96515,408.39
Wed Sep 27 11:58:51 2023,2059,0,0,0,25.0,96513,408.56
Wed Sep 27 11:58:51 2023,2129,0,0,0,25.0,96511,408.74
Wed Sep 27 11:58:51 2023,2070,0,0,0,25.0,96511,408.65
Wed Sep 27 11:58:51 2023,2087,0,0,0,25.0,96513,408.56
Wed Sep 27 11:58:53 2023,2055,0,0,10,25.0,96509,408.39
Wed Sep 27 11:58:53 2023,2160,0,0,0,25.0,96510,407.78
Wed Sep 27 11:58:53 2023,2056,0,0,0,25.0,96509,408.22
Wed Sep 27 11:58:53 2023,2155,0,0,0,25.0,96512,408.91
Wed Sep 27 11:58:53 2023,2064,0,0,0,25.0,96512,408.91
Wed Sep 27 11:58:53 2023,2134,0,0,0,25.0,96512,408.91
Wed Sep 27 11:58:54 2023,2121,0,0,0,25.0,96508,409.08
Wed Sep 27 11:58:54 2023,2070,0,0,0,25.0,96508,409.0
Wed Sep 27 11:58:54 2023,2162,0,0,0,25.0,96511,408.65
Wed Sep 27 11:58:54 2023,2059,0,0,0,25.0,96506,407.87
Wed Sep 27 11:58:54 2023,2163,0,0,0,25.0,96511,408.65
Wed Sep 27 11:58:55 2023,2062,0,0,0,25.0,96514,408.48
Wed Sep 27 11:58:55 2023,2119,0,0,0,25.0,96514,408.91
Wed Sep 27 11:58:55 2023,2100,0,0,0,25.0,96513,407.96
